adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
black,38,color,0.269,lexical,0.092795097620921363,0.028841828274825804,0.44156636459303489,0.34877126697211353,"[0.3974358974358974, 0.11021487603305785, 0.13970247933884297]",2,"gorgeous black ,old black ,little black ,big black ,big black ,good black ,young black ,black shiny ,black good ,small black ,strange black ,young black ,thick black ,little black ,black little ,big black ,big black ,little black ,big black ,big black ,black tiny ,big black ,black fluffy ,black top ,white black ,big black ,stupid black ,teenage black ,small black ,black red ,black wooden ,black wooden ,black short ,black plastic ,black wooden ,black plastic ,black wooden ,black wooden ,","small black ,small black ,cool black ,little black ,little black ,little black ,little black ,"
tawny,N/A,color,0.505,N/A,0.0,0.5,0.5,0.5,not in input,2,,"little tawny ,"
sweet,11,physical,0.724666666666667,input,-0.19094369844651024,0.7746393703465928,0.011785074141622312,0.20272877258813254,"[0.9583333333333334, 0.47704064826404902, 0.76645365307332503]",2,"sweet chinese ,sweet little ,sweet old ,sweet little ,sweet old ,sweet old ,sweet good ,sweet old ,sweet red ,sweet red ,sweet old ,","sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,"
orange,1,color,0.301538461538462,sub,-0.074177416098217777,0.087890625,0.087979759921219744,0.16215717601943752,"[0.75, 0.1121126389894072, 0.16770840186854399]",2,"orange smooth ,","fresh orange ,big orange ,big orange ,orange green ,orange green ,"
east,1,location,0.202222222222222,sub,-0.23137620587466412,0.5625,0.57388175827376109,0.80525796414842521,"[0.25, 0.24245016119481544, 0.1026383314691756]",2,"south east ,","english east ,english east ,"
smart,17,human,0.596666666666667,lexical,0.33686378770014558,0.0026791838134430698,0.39092692027976617,0.054063132579620608,"[0.8611111111111112, 0.26880727896090195, 0.62187644227599392]",2,"smart little ,dead smart ,nice smart ,smart new ,smart wooden ,smart new ,smart new ,smart new ,smart new ,smart new ,smart new ,smart green ,smart new ,smart new ,smart new ,smart new ,smart blue ,","good smart ,pretty smart ,nice smart ,"
brown,184,color,0.29875,lexical,0.14055425835497656,0.18478871603778513,0.30872950333285304,0.16817524497787648,"[0.013513513513513514, 0.10254163014899212, 0.15950920245398773]",2,"thick brown ,strong brown ,little brown ,light brown ,light brown ,wide brown ,nice brown ,old brown ,big brown ,big brown ,pale brown ,big brown ,dirty brown ,little brown ,old brown ,little brown ,little brown ,dark brown ,dark brown ,dark brown ,dark brown ,dark brown ,short brown ,dark brown ,dry brown ,brown wooden ,long brown ,dark brown ,plain brown ,soft brown ,golden brown ,big brown ,beautiful brown ,old brown ,sharp brown ,small brown ,little brown ,old brown ,soft brown ,dark brown ,dark brown ,long brown ,bright brown ,thick brown ,dark brown ,dirty brown ,huge brown ,big brown ,small brown ,large brown ,shiny brown ,long brown ,large brown ,thin brown ,soft brown ,dark brown ,dark brown ,full brown ,full brown ,hot brown ,beautiful brown ,poor brown ,hard brown ,soft brown ,dark brown ,wild brown ,soft brown ,big brown ,huge brown ,large brown ,long brown ,long brown ,short brown ,plain brown ,plain brown ,dark brown ,big brown ,big brown ,pale brown ,pale brown ,dark brown ,pale brown ,wide brown ,dark brown ,dark brown ,large brown ,soft brown ,flat brown ,thick brown ,yellow brown ,shiny brown ,large brown ,old brown ,dark brown ,thick brown ,light brown ,wild brown ,wild brown ,wild brown ,wild brown ,wild brown ,wild brown ,wild brown ,wild brown ,wild brown ,wild brown ,good brown ,thick brown ,dark brown ,long brown ,awful brown ,old brown ,big brown ,big brown ,dark brown ,dark brown ,large brown ,little brown ,small brown ,large brown ,dry brown ,dark brown ,large brown ,perfect brown ,thick brown ,dark brown ,short brown ,wide brown ,wild brown ,plain brown ,small brown ,short brown ,open brown ,brown soft ,dark brown ,large brown ,fresh brown ,neat brown ,small brown ,soft brown ,thick brown ,dark brown ,first brown ,last brown ,horrid brown ,big brown ,wild brown ,pale brown ,pale brown ,dark brown ,dark brown ,dark brown ,dark brown ,large brown ,little brown ,little brown ,large brown ,rough brown ,heavy brown ,small brown ,long brown ,dirty brown ,plain brown ,warm brown ,dark brown ,nice brown ,big brown ,wild brown ,dark brown ,dark brown ,little brown ,horrid brown ,long brown ,pale brown ,large brown ,dark brown ,dark brown ,long brown ,young brown ,great brown ,thick brown ,hot brown ,strong brown ,soft brown ,","short brown ,small brown ,small brown ,small brown ,big brown ,big brown ,little brown ,awful brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,brown little ,big brown ,big brown ,"
good,350,value,0.78125,input,-2.5797382626894075e-13,5.4103665079192718e-08,3.4210132240949337e-15,2.6139483949303567e-13,"[0.7857142857142857, 0.89662781877111919, 0.87587062961175088]",2,"good young ,good old ,good fun ,old good ,good old ,good red ,good rotten ,good early ,good old ,good strong ,good old ,good mexican ,good old ,good mexican ,good short ,good special ,good little ,first good ,good first ,jolly good ,good high ,good good ,good good ,good old ,good long ,jolly good ,good last ,good healthy ,good dry ,good rough ,good clean ,good bad ,jolly good ,good black ,jolly good ,good clever ,good regular ,good old ,good old ,good old ,jolly good ,good hard ,good hard ,good young ,good nice ,good old ,good little ,good early ,black good ,speedy good ,good good ,good good ,good brave ,good old ,good old ,jolly good ,good second ,jolly good ,good short ,good old ,good strong ,jolly good ,good long ,good old ,good old ,good old ,good new ,okay good ,jolly good ,good old ,good old ,good old ,good mean ,jolly good ,good old ,jolly good ,good hot ,jolly good ,good old ,jolly good ,right good ,right good ,good heavy ,good last ,good next ,side good ,good last ,good old ,good old ,good long ,good hard ,good good ,good last ,jolly good ,good second ,good long ,good long ,good old ,good old ,good old ,good little ,good old ,good little ,jolly good ,good short ,good strong ,good old ,good big ,good big ,good old ,good old ,good long ,good nice ,good last ,good old ,good hot ,good big ,good last ,good old ,good first ,good old ,good old ,good hot ,good little ,good little ,nice good ,good little ,good big ,good old ,good old ,good top ,good old ,good old ,good old ,good old ,good old ,good old ,jolly good ,good high ,good high ,good old ,good old ,good old ,good good ,jolly good ,good old ,good new ,good little ,good long ,good first ,good old ,good old ,jolly good ,good old ,good old ,good new ,jolly good ,good good ,good clean ,good good ,good clean ,good old ,good old ,good old ,good old ,jolly good ,jolly good ,gentle good ,good first ,jolly good ,good old ,good old ,jolly good ,good clear ,good young ,good old ,good old ,jolly good ,good old ,good old ,good old ,jolly good ,good old ,good long ,good red ,next good ,gracious good ,good old ,good old ,good old ,jolly good ,good small ,past good ,great good ,back good ,high good ,last good ,good old ,good old ,good old ,good old ,good long ,good old ,good old ,jolly good ,good long ,good old ,little good ,little good ,good old ,good old ,little good ,good hard ,good old ,good fresh ,sweet good ,good old ,good fresh ,good old ,good old ,good green ,good old ,great good ,high good ,good old ,good old ,good long ,good old ,good long ,good old ,good old ,jolly good ,good old ,good old ,good new ,jolly good ,good old ,good old ,good old ,great good ,good old ,good long ,good hard ,good new ,good new ,good new ,good old ,good short ,good green ,jolly good ,good brown ,good old ,good old ,good old ,good old ,good old ,good old ,good smooth ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,last good ,good old ,good old ,good old ,jolly good ,good old ,good old ,good old ,good small ,loud good ,good old ,quick good ,good old ,good new ,good new ,good hard ,jolly good ,good long ,good old ,good old ,good green ,big good ,good long ,good old ,good old ,good long ,good old ,good old ,good old ,good old ,good old ,jolly good ,good old ,jolly good ,great good ,good old ,good short ,jolly good ,good old ,good old ,perfect good ,good new ,jolly good ,jolly good ,good old ,good old ,good old ,good old ,good big ,good old ,jolly good ,good old ,good old ,good old ,good old ,brilliant good ,delicate good ,good old ,good long ,good old ,high good ,good old ,good old ,good old ,good hard ,good smooth ,good old ,good old ,good old ,good long ,good old ,jolly good ,good new ,good old ,jolly good ,","pretty good ,good sad ,pretty good ,pretty good ,pretty good ,good smart ,good big ,pretty good ,good last ,pretty good ,pretty good ,pretty good ,good little ,good little ,good little ,good little ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good hot ,good hot ,good hot ,good hot ,good hot ,good hot ,pretty good ,jolly good ,jolly good ,good little ,pretty good ,pretty good ,pretty good ,jolly good ,good little ,good last ,"
far,1,location,0.609473684210526,sub,-0.3843673925916179,0.25,0.24245016119481544,0.62681755378643333,"[0.25, 0.24245016119481544, 0.62681755378643333]",2,"speedy far ,","far side ,"
big,496,dimension,0.691666666666667,lexical,0.038394405335104458,1.0004102796816417e-12,0.044039791467850656,0.0056453861327462,"[0.40143737166324434, 0.65141811527904847, 0.76979379266661974]",2,"big fat ,great big ,big bad ,big tall ,big old ,big long ,big old ,big long ,big bad ,big bad ,great big ,great big ,great big ,big full ,big front ,great big ,great big ,great big ,big green ,big green ,last big ,great big ,big green ,big blue ,big huge ,new big ,big green ,great big ,last big ,great big ,great big ,great big ,big white ,great big ,big cold ,big big ,great big ,great big ,great big ,great big ,great big ,big american ,big black ,big black ,big old ,great big ,big heavy ,big white ,big white ,great big ,big red ,big long ,big big ,great big ,big old ,big old ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,big old ,big healthy ,great big ,great big ,big long ,big long ,great big ,big red ,new big ,nice big ,great big ,great big ,great big ,big heavy ,big bad ,great big ,second big ,big open ,big big ,huge big ,big big ,big big ,big back ,big new ,great big ,great big ,big open ,great big ,big third ,big thick ,great big ,big top ,big red ,big white ,big wooden ,big brown ,big bright ,nice big ,great big ,great big ,small big ,big heavy ,next big ,great big ,great big ,great big ,big heavy ,big wooden ,big big ,big wide ,great big ,great big ,big thick ,great big ,big happy ,nice big ,big fat ,great big ,big new ,big brown ,big back ,great big ,great big ,big heavy ,great big ,big red ,big thick ,great big ,nice big ,great big ,great big ,great big ,big yellow ,big old ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,big wide ,big cold ,big cold ,big central ,great big ,great big ,nice big ,great big ,big long ,great big ,great big ,nice big ,great big ,beautiful big ,great big ,great big ,big black ,great big ,big black ,little big ,great big ,great big ,great big ,great big ,great big ,big brown ,great big ,nice big ,little big ,big big ,big big ,big old ,great big ,great big ,great big ,big white ,big old ,big happy ,huge big ,great big ,great big ,great big ,big huge ,big green ,big new ,shiny big ,big gigantic ,new big ,big fat ,great big ,big thick ,nice big ,great big ,great big ,great big ,big posh ,big fat ,great big ,great big ,big golden ,great big ,great big ,good big ,good big ,great big ,big new ,nice big ,great big ,big large ,big long ,big black ,big blue ,great big ,big black ,big white ,huge big ,good big ,big old ,nice big ,great big ,great big ,great big ,big open ,great big ,great big ,great big ,big thick ,big white ,big new ,great big ,great big ,big fat ,big old ,great big ,great big ,big posh ,big big ,great big ,great big ,great big ,nice big ,big purple ,great big ,great big ,nice big ,great big ,great big ,nice big ,great big ,good big ,great big ,great big ,big old ,big fat ,big red ,big wide ,great big ,great big ,great big ,great big ,great big ,big black ,nice big ,nice big ,great big ,great big ,nice big ,big fat ,big large ,big heavy ,big long ,nice big ,big big ,next big ,great big ,great big ,great big ,big heavy ,nice big ,nice big ,beautiful big ,great big ,big fat ,pretty big ,big golden ,big black ,big green ,big fat ,big long ,great big ,great big ,big dirty ,big long ,great big ,big huge ,great big ,great big ,nice big ,big fat ,first big ,third big ,great big ,great big ,big new ,great big ,great big ,great big ,next big ,great big ,great big ,great big ,second big ,great big ,great big ,great big ,great big ,big old ,big white ,first big ,last big ,first big ,big blue ,big old ,last big ,big bad ,next big ,big brown ,big new ,first big ,first big ,big new ,next big ,big old ,horrible big ,big bad ,big bad ,big old ,odd big ,odd big ,odd big ,great big ,big old ,big blue ,first big ,next big ,second big ,first big ,first big ,first big ,last big ,third big ,first big ,big new ,great big ,big old ,big brown ,big wooden ,big yellow ,nice big ,nice big ,nice big ,first big ,big wooden ,big brown ,big soft ,big soft ,big soft ,first big ,big bad ,new big ,great big ,last big ,last big ,big blue ,last big ,first big ,big new ,little big ,next big ,first big ,big brown ,big brown ,great big ,last big ,great big ,new big ,big red ,great big ,big brown ,big new ,great big ,first big ,big brown ,nice big ,nice big ,great big ,next big ,big old ,big old ,big red ,next big ,next big ,next big ,first big ,next big ,last big ,first big ,big new ,last big ,live big ,new big ,big green ,first big ,big good ,great big ,big wooden ,big wooden ,big yellow ,big bad ,new big ,great big ,big wooden ,first big ,first big ,big blue ,live big ,nice big ,first big ,big brown ,first big ,new big ,big old ,great big ,big bad ,first big ,first big ,big plastic ,nice big ,last big ,good big ,big blue ,old big ,mean big ,big brown ,next big ,first big ,first big ,first big ,next big ,first big ,big soft ,first big ,great big ,big wooden ,big yellow ,big yellow ,big green ,big bad ,big soft ,next big ,big bad ,great big ,big red ,big blue ,great big ,great big ,great big ,big old ,great big ,old big ,first big ,great big ,great big ,great big ,great big ,great big ,first big ,big bad ,","pretty big ,pretty big ,big wooden ,little big ,big long ,pretty big ,big long ,big long ,big heavy ,great big ,big long ,big sharp ,big huge ,big bad ,big long ,beautiful big ,big yucky ,big old ,great big ,big long ,big loud ,big loud ,big blue ,big blue ,good big ,big wide ,big round ,big wide ,great big ,great big ,great big ,great big ,big happy ,big fat ,great big ,great big ,great big ,pretty big ,big hollow ,big beautiful ,big long ,big old ,big bad ,big round ,big beautiful ,big long ,great big ,big brown ,big huge ,big strong ,big strong ,great big ,big brown ,pretty big ,big tall ,big tall ,pretty big ,big huge ,great big ,big beautiful ,big brown ,big brown ,big brown ,big brown ,big blue ,big huge ,big fat ,pretty big ,pretty big ,big brown ,big brown ,great big ,big green ,big beautiful ,great big ,big beautiful ,big long ,pretty big ,great big ,big blue ,big brown ,big brown ,big red ,big red ,big long ,big bright ,big red ,big front ,big strong ,big old ,big bad ,great big ,great big ,big fat ,big old ,big long ,big red ,big fat ,big bad ,big bright ,big red ,big fantastic ,great big ,great big ,big red ,great big ,great big ,awful big ,great big ,big yellow ,big orange ,big orange ,big special ,big green ,big dead ,big hard ,big flat ,jolly big ,nice big ,nice big ,nice big ,jolly big ,big red ,big heavy ,big fluffy ,beautiful big ,big tall ,big old ,big fluffy ,big white ,great big ,big purple ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big blue ,big blue ,big yellow ,big red ,great big ,great big ,great big ,big yellow ,big long ,great big ,big fun ,big fun ,"
fat,22,dimension,0.619375,input,0.00044365389258832488,0.087242621703038495,0.016435627276638432,0.015991973384050107,"[0.45652173913043476, 0.64194761496338326, 0.64438873127927687]",2,"big fat ,fat little ,big fat ,little fat ,big fat ,big fat ,low fat ,big fat ,big fat ,big fat ,fat old ,big fat ,fat ugly ,big fat ,big fat ,fat old ,fat old ,fat green ,fat old ,fat soft ,fat soft ,fat old ,","big fat ,big fat ,big fat ,big fat ,"
dark,96,color,0.315,lexical,0.27774117939026993,7.9629533337961282e-11,0.45213828778219439,0.17439710839192446,"[0.9639175257731959, 0.10720234525951096, 0.22080085282164036]",2,"dark green ,short dark ,small dark ,dark haired ,dark blue ,dark brown ,dark brown ,dark brown ,dark red ,dark cold ,great dark ,dark brown ,dark brown ,dark red ,dark green ,dark green ,dark brown ,dark brown ,dark yellow ,dark green ,dark green ,dark brown ,dark blue ,dark red ,dark brown ,dark brown ,dark blue ,dark brown ,dark red ,dark brown ,dark red ,dark brown ,dark soft ,dark red ,dark brown ,dark green ,dark blue ,dark green ,dark blue ,dark brown ,dark purple ,dark brown ,dark brown ,dark blue ,dark purple ,dark blue ,dark green ,dark brown ,dark blue ,dark brown ,dark green ,dark blue ,dark red ,dark red ,dark brown ,dark brown ,dark blue ,dark brown ,dark blue ,dark brown ,dark red ,dark red ,dark brown ,dark green ,dark green ,dark brown ,dark purple ,dark green ,dark purple ,dark green ,dark green ,dark purple ,dark blue ,dark brown ,dark red ,dark brown ,dark red ,dark brown ,dark brown ,dark green ,dark red ,dark blue ,dark brown ,dark green ,dark brown ,dark brown ,dark green ,dark blue ,dark blue ,dark blue ,dark blue ,dark brown ,dark brown ,dark red ,dark red ,dark short ,","long dark ,small dark ,small dark ,small dark ,small dark ,small dark ,small dark ,"
front,7,location,0.254,sub,-0.20406090245669006,0.324951171875,0.43509448735229894,0.63915538980898901,"[0.3125, 0.24224665832620004, 0.13860538618555343]",2,"big front ,new front ,new front ,full front ,front south ,front south ,new front ,","small front ,small front ,big front ,"
nasty,9,value,0.757142857142857,input,0.052668164327497213,0.90249999999999997,0.77231023082424366,0.71964206649674645,"[0.95, 0.87881182901929789, 0.84831719686491469]",2,"nasty little ,nasty little ,nasty little ,nasty little ,nasty little ,nasty little ,nasty little ,nasty old ,nasty old ,","nasty little ,nasty old ,"
silver,1,color,0.251111111111111,lexical,0.046834767703009983,0.5625,0.78834396584235478,0.74150919813934479,"[0.25, 0.1121126389894072, 0.13889071649450621]",2,"little silver ,","huge silver ,tiny silver ,"
cool,2,physical,0.678125,lexical,0.21076123903408556,0.008037551440329211,0.2552894945428873,0.044528255508801746,"[0.8333333333333334, 0.47706784233730343, 0.72606435480686982]",2,"cool wet ,cool green ,","nice cool ,cool alright ,nice cool ,pretty cool ,cool black ,nice cool ,"
wooden,157,material,0.255454545454545,lexical,0.23294453107388091,0.98110278801474116,0.98754490338490453,0.75460037231102361,"[0.00949367088607595, 0.0062470611943306244, 0.13132263048297171]",2,"old wooden ,thick wooden ,old wooden ,long wooden ,old wooden ,old wooden ,little wooden ,big wooden ,big wooden ,wooden old ,old wooden ,proper wooden ,old wooden ,nice wooden ,old wooden ,mean wooden ,tiny wooden ,brown wooden ,small wooden ,smart wooden ,small wooden ,small wooden ,hard wooden ,short wooden ,hot wooden ,long wooden ,small wooden ,rotten wooden ,small wooden ,grand wooden ,black wooden ,green wooden ,long wooden ,large wooden ,little wooden ,long wooden ,thick wooden ,low wooden ,black wooden ,long wooden ,large wooden ,big wooden ,ancient wooden ,old wooden ,big wooden ,new wooden ,small wooden ,small wooden ,old wooden ,heavy wooden ,hard wooden ,large wooden ,thick wooden ,heavy wooden ,long wooden ,old wooden ,old wooden ,plain wooden ,rough wooden ,green wooden ,great wooden ,huge wooden ,small wooden ,old wooden ,short wooden ,long wooden ,little wooden ,little wooden ,light wooden ,bright wooden ,heavy wooden ,white wooden ,tall wooden ,long wooden ,huge wooden ,large wooden ,old wooden ,long wooden ,small wooden ,tall wooden ,tall wooden ,long wooden ,plain wooden ,old wooden ,tiny wooden ,black wooden ,long wooden ,small wooden ,tiny wooden ,large wooden ,small wooden ,large wooden ,huge wooden ,little wooden ,high wooden ,old wooden ,short wooden ,large wooden ,large wooden ,low wooden ,tiny wooden ,tiny wooden ,big wooden ,big wooden ,narrow wooden ,hollow wooden ,big wooden ,great wooden ,flat wooden ,flat wooden ,heavy wooden ,heavy wooden ,small wooden ,old wooden ,long wooden ,wide wooden ,small wooden ,large wooden ,central wooden ,large wooden ,tall wooden ,new wooden ,large wooden ,low wooden ,long wooden ,black wooden ,little wooden ,old wooden ,long wooden ,long wooden ,high wooden ,large wooden ,long wooden ,little wooden ,tiny wooden ,flat wooden ,new wooden ,short wooden ,little wooden ,small wooden ,small wooden ,small wooden ,little wooden ,black wooden ,narrow wooden ,little wooden ,big wooden ,small wooden ,flat wooden ,little wooden ,rough wooden ,hard wooden ,old wooden ,old wooden ,old wooden ,old wooden ,innocent wooden ,","big wooden ,little wooden ,"
large,79,dimension,0.548181818181818,input,0.09064062238833448,0.84056420898437489,0.26587664920538129,0.17523602681704681,"[0.94375, 0.64302333311174631, 0.55959582530080432]",2,"huge large ,large high ,large green ,large flat ,large open ,large new ,large long ,awful large ,large open ,large special ,large strong ,large strong ,big large ,large white ,large white ,big large ,large low ,large new ,large old ,large blue ,large red ,large red ,large new ,large old ,large wooden ,large brown ,large wooden ,large brown ,large brown ,large red ,large old ,large wooden ,large new ,large red ,large old ,large new ,large new ,large brown ,large new ,large brown ,large new ,large yellow ,large wooden ,large brown ,large new ,large new ,large brown ,large wooden ,large soft ,large old ,large wooden ,large red ,large brown ,large blue ,large wooden ,large new ,large wooden ,large brown ,large yellow ,large wooden ,large blue ,large wooden ,large plastic ,large smooth ,large brown ,large wooden ,large red ,large brown ,large wooden ,large red ,large yellow ,large square ,large new ,large new ,large brown ,large new ,large yellow ,large red ,large red ,","large heavy ,large long ,large long ,"
bad,69,value,0.71625,input,-1.0074502514127769e-05,0.00018102984196074353,3.8024911305558036e-08,1.0112527425433327e-05,"[0.6594202898550725, 0.88182964880833836, 0.76253070437495851]",2,"big bad ,big bad ,big bad ,bad old ,good bad ,bad little ,big bad ,bad old ,bad side ,bad old ,bad old ,bad cold ,bad hard ,bad old ,bad bad ,bad little ,bad little ,bad old ,bad old ,bad old ,bad old ,bad old ,bad little ,rotten bad ,bad old ,big bad ,bad old ,bad old ,big bad ,mad bad ,big bad ,second bad ,third bad ,bad old ,bad old ,bad old ,big bad ,bad old ,bad old ,huge bad ,bad old ,bad old ,last bad ,bad old ,bad old ,bad old ,bad old ,bad old ,bad small ,bad old ,mad bad ,last bad ,big bad ,bad old ,bad old ,bad old ,big bad ,bad old ,bad old ,first bad ,bad old ,big bad ,big bad ,bad long ,bad old ,bad old ,bad old ,big bad ,","pretty bad ,big bad ,pretty bad ,big bad ,awful bad ,awful bad ,big bad ,big bad ,"
